event_signature,issue_date,field,original_value,true_value,correction_reason
"oo-stewart-providence-civic-center,-&-_|-1988-09-23",10/8/1988,location,"['Providence Civic', 'Center, & _|']","['Providence Civic', 'Center, R.I.']",
eddy-arnold-fox-theatre-None,10/8/1988,dates,['Sept. 23-'],"['Sept. 23-', '25']",
eddy-arnold-fox-theatre-None,10/8/1988,gross_receipts_us,,231950,
eddy-arnold-fox-theatre-None,10/8/1988,attendance,,13020,
eddy-arnold-fox-theatre-None,10/8/1988,ticket_prices,"['19.90/16.90/', '13.90/87.90']","['19.90/16.90/', '13.90/7.90']",
rod-stewart-centrum-in-worcester-=-1988-09-22,10/8/1988,attendance,1213,12131,
"def-lepparo-louisiana-state-univ,-assembly-center-None",10/8/1988,dates,['Sept.s'],['Sept. 8'],
"def-lepparo-louisiana-state-univ,-assembly-center-None",10/8/1988,gross_receipts_us,,222239,
"def-lepparo-louisiana-state-univ,-assembly-center-None",10/8/1988,attendance,,13698,
randy-travis/the-judos:-shoreline-amphitheatre-1988-09-17,10/8/1988,ticket_prices,['22.50/318.50'],['22.50/18.50'],
"oo-stewart-ottawa-fair,-canadian)-donald-k.-donald:-bass-clef-lt-entertainment-1988-08-27",10/8/1988,gross_receipts_us,207.57,207257,
"oo-stewart-ottawa-fair,-canadian)-donald-k.-donald:-bass-clef-lt-entertainment-1988-08-27",10/8/1988,attendance,1078,10428,
grateful-dead-oakland-coliseum-None,1/14/1989,dates,"['Dec. 28-', '23,31']","['Dec. 28-', '29, 31']",
neil-diamond-miami-arena-1988-12-18,1/14/1989,ticket_prices,[],['18.50'],
kenny-rogers:-fox-theatre-1988-12-15,1/14/1989,artists,"['KENNY ROGERS:', 'THE FORESTER SISTERS,']","['KENNY ROGERS', 'THE FORESTER SISTERS']",
kenny-rogers:-fox-theatre-1988-12-15,1/14/1989,ticket_prices,['27.50/820.50'],['27.50/20.50'],
andrew-dice-clay-beacon-theatre-1988-12-31,1/14/1989,ticket_prices,[],['30'],
kansas/night-ranger-sunrise-musical-theatre-gis-sellout-1988-12-29,1/14/1989,ticket_prices,[],['15'],
randy-travis/merle-martin-luther-king-jr.-arena-1989-01-12,2/4/1989,ticket_prices,[],['17.50'],
george-strait-barnhill-arena-1989-01-20,2/4/1989,ticket_prices,[],['15'],
wayne-newton-fox-theatre-1989-03-23,4/8/1989,gross_receipts_us,,435694,
wayne-newton-fox-theatre-1989-03-23,4/8/1989,attendance,,21174,
"“bon-jovi-rosemont-horizon-rosemont,-lll.-1989-03-24",4/8/1989,attendance,,17122,
bobby-brown-reunion-arena-1989-03-26,4/8/1989,attendance,123,12713,
rem.-reunion-arena-1989-03-22,4/8/1989,ticket_prices,[],['17.50'],
kenny-g-fox-theatre-1989-03-24,4/8/1989,gross_receipts_us,,155299,
kenny-g-fox-theatre-1989-03-24,4/8/1989,attendance,,8598,
"cinderella-barton-coliseum-ark,-state-sé-fairgrounds-1989-03-25",4/8/1989,ticket_prices,[],['16'],
metallica-pt-fieldhouse-1989-03-15,4/8/1989,attendance,,7472,
metallica-pt-fieldhouse-1989-03-15,4/8/1989,ticket_prices,[],['16.50'],
"alabama,-wendler-arena-1989-03-16",4/8/1989,attendance,,6800,
chicago-brown-co.-veterans-memorial-arena-al-1989-03-22,4/8/1989,attendance,3872,5872,
hal-roach-valley-forge-music-fair-1989-03-18,4/8/1989,ticket_prices,[],['17'],
world-series-of-rock:-alpine-valiey-music-theatre-1989-05-27,6/17/1989,attendance,,36213,
"bon-jovi-grandstand,-exhibition-place-toronto,-canadian)-1989-06-02",6/17/1989,ticket_prices,[],['25/21'],
bon-jovl-joe-louis-arena-1989-05-28,6/17/1989,attendance,877,17877,
"sulig-iglesias-montreal-forum-montreal,-canadian)-1989-06-01",6/17/1989,attendance,,9839,
the-jump-street-civic-arena-1989-05-29,6/17/1989,ticket_prices,[],['17.50'],
dave-copperfield-theatre-ill-national-arts-centre-canadian)-1989-05-19,6/17/1989,attendance,,8301,
"the-jump-street-uic-pavilion,-chicago-1989-05-25",6/17/1989,attendance,,8362,
"the-jump-street-uic-pavilion,-chicago-1989-05-25",6/17/1989,ticket_prices,[],['19.50],
bon-jovi-peoria-civic-center-1989-05-29,6/17/1989,attendance,805,8305,
bon-jovi-peoria-civic-center-1989-05-29,6/17/1989,ticket_prices,[],['18.50'],
conway-twitty-nashville-dune-municipal-auditorium-None,6/17/1989,dates,['4'],['June 4'],
"jerry-garcia-irvine-meadows-laguna-hills,-1989-05-19",6/17/1989,attendance,,5791,
"jerry-garcia-irvine-meadows-laguna-hills,-1989-05-19",6/17/1989,ticket_prices,[],['20/18.50'],
diana-ross-radio-city-music-hall-prods.-1989-06-14,7/1/1989,ticket_prices,['35/930/25'],['35/30/25'],
"budweiser-superfest:-rfk-stadium-washington,-de.-dimensions-unlimited-wy-1989-06-17",7/1/1989,ticket_prices,['26.75/524.75'],['26.75/24.75'],
george-strait-starplex-amphitheatre-1989-06-15,7/1/1989,gross_receipts_us,,434939,
george-strait-starplex-amphitheatre-1989-06-15,7/1/1989,attendance,,24837,
bon-jom-hersheypark-stadium-1989-06-09,7/1/1989,ticket_prices,['1850'],['18.50'],
80n-jovi-providence-civic-center-None,7/1/1989,dates,['June?'],['June 7'],
"eadeinwa,-uic-pavilion,-univ.-of-illinois:-concerts-chicago-jam-prods.-1989-06-14",7/1/1989,artists,"['EADEINWA, UIC', 'KIDNPLAY', 'TOO SHORT', 'KWAME']","['EAZY-E/N.W.A', ""KID 'N PLAY"", 'TOO SHORT', 'KWAME', 'J.J. FAD']",
eaiv-e/rwa-reunion-arena-no'nplay-1989-06-10,7/1/1989,artists,"['EAIV-E/RWA', 'TOO SHORT', 'SR MIKALOT', 'KWAME', 'MC. TWIST']","['EASY-E/N.W.A.', ""KID 'N PLAY"", 'TOO SHORT', 'SR MIX-A-LOT', 'KWAME', 'J.J. FAD, M.C. TWIST']",
"eadeinwa.-the-summit-xid'npliy-houston,-1989-06-11",7/1/1989,artists,"['EADEINWA.', 'TOO SHORT', 'WANE', 'MC. TWIST']","['EASY-E/N.W.A.', ""KID 'N PLAY"", 'TOO SHORT', 'KWAME', 'J.J. FAD', 'M.C. TWIST']",
"eadeinwa.-the-summit-xid'npliy-houston,-1989-06-11",7/1/1989,attendance,,9816,
"ealve/ma,-arena,-mecca-milwaukee,-kid'n-play-1989-06-16",7/1/1989,artists,"['EALVE/MA,', 'WANE', 'TOO SHORT', 'JU.FAD']","['EASY-E/N.W.A.,', 'KWAME', 'TOO SHORT', 'J.J. FAD', ""KID 'N PLAY""]",
the-judds-wolt-trap-farm-=-park-1989-06-01,7/1/1989,ticket_prices,['25/20/815'],['25/20/15'],
"eatveinma,-loursville-tooshort-gardens-concerts-1989-06-08",7/1/1989,artists,"['EATVEINMA,', 'KWAME']","['EASY-E/N.W.A.', 'KWAME', 'TOO SHORT', 'J.J. FAD', ""KID 'N PLAY""]",
"eatyeinwa,-cincinnati-riverfront-nio-'nplay-coliseum-1989-06-18",7/1/1989,artists,"['EATYEINWA,', 'A.FAD']","['EASY-E/N.W.A.', 'J.J. FAD', ""KID 'N PLAY""]",
grateful-dead-rich-stadium-1989-07-04,7/22/1989,ticket_prices,[],['21'],
"neil-diamond-the-great-western-forum-inglewood,-__&-None",7/22/1989,dates,"['June 28-', '30, July 2', '5-10']","['June 28-', '30, July 2', '& 5-10']",
jowathon-brandmeier-&-|-poplar-creek-music-theatre-None,7/22/1989,gross_receipts_us,,600930,
jowathon-brandmeier-&-|-poplar-creek-music-theatre-None,7/22/1989,attendance,,36415,
the-doobie-brothers-alpine-valley-music-theatre-1989-06-17,7/22/1989,gross_receipts_us,,495771,
the-doobie-brothers-alpine-valley-music-theatre-1989-06-17,7/22/1989,attendance,,22061,
"new-order-grandstand,-exhibition-place-toronto-canadian)-None",7/22/1989,attendance,7677,17577,
"new-order-grandstand,-exhibition-place-toronto-canadian)-None",7/22/1989,ticket_prices,['24/521'],['24/21'],
jammy-buffett-&-coral-palace-1989-06-30,7/22/1989,attendance,,11037,
shirley-bassey-westbury-music-fair-1989-06-27,7/22/1989,gross_receipts_us,,207469,
shirley-bassey-westbury-music-fair-1989-06-27,7/22/1989,attendance,,8279,
"rod-stewart-mid-south-coliseum,-memphis,-1989-06-28",7/22/1989,ticket_prices,[],['17'],
"rod-stewart-coliseum,-mississippi-$i?-sellout-concerts-state-fairgrounds-1989-06-30",7/22/1989,ticket_prices,[],['17'],
o1ngo-boingo-open-air-theatre-1989-06-25,7/22/1989,gross_receipts_us,,156700,
o1ngo-boingo-open-air-theatre-1989-06-25,7/22/1989,attendance,,8403,
the-who-alpine-valley-music-theatre-i-1989-07-21,8/5/1989,gross_receipts_us,,3146704,
the-who-alpine-valley-music-theatre-i-1989-07-21,8/5/1989,attendance,,110004,
|-grateful-dead-alpine-valley-music-theatre-1989-07-17,8/5/1989,gross_receipts_us,,1904071,
|-grateful-dead-alpine-valley-music-theatre-1989-07-17,8/5/1989,attendance,,105671,
grateful-dead-jfk-stadium-philadelphia-gal-1989-07-07,8/5/1989,attendance,13347,73347,
grateful-dead-jfk-stadium-philadelphia-gal-1989-07-07,8/5/1989,ticket_prices,[],['21'],
the-who-|-three-rivers-stadium-1989-07-16,8/5/1989,ticket_prices,[],['25'],
neil-diamond-met-center-1989-07-15,8/5/1989,gross_receipts_us,,1023954,
neil-diamond-met-center-1989-07-15,8/5/1989,attendance,,51888,
neil-diamond-met-center-1989-07-15,8/5/1989,ticket_prices,['20/518'],['20/18'],
metallica-meadowlands-arena-1989-07-21,8/5/1989,gross_receipts_us,,487940,
metallica-meadowlands-arena-1989-07-21,8/5/1989,attendance,,28670,
metallica-meadowlands-arena-1989-07-21,8/5/1989,ticket_prices,['48.50/17.50'],['18.50/17.50'],
the-doobie-brothers-jones-beach-theatre-1989-07-20,8/5/1989,gross_receipts_us,,432248,
the-doobie-brothers-jones-beach-theatre-1989-07-20,8/5/1989,attendance,,19211,
chicago/the-beach-bots-|-civic-arena-1989-07-19,8/5/1989,ticket_prices,['26/823.50'],['26/23.50'],
new-order-pine-knob-music-theatre-1989-07-17,8/5/1989,ticket_prices,['20/316.50'],['20/16.50'],
chicago/the-beach-boys-|-seashore-performing-arts-centre-1989-07-21,8/5/1989,ticket_prices,['21/820'],['21/20'],
metallica-nassau-veterans-memorial-larry-vaughan-coliseum-1989-07-23,8/5/1989,ticket_prices,['18.50/817.50'],['18.50/17.50'],
roo-stewart-champs-de-brionne-amphitheatre-1989-07-15,8/5/1989,ticket_prices,['19/317.50'],['19/17.50'],
jimmy-buffett-&-the-mann-music-center-1989-07-16,8/5/1989,ticket_prices,"['2450/21.50/', '16/13.50']","['24.50/21.50/', '16/13.50']",
howard-jones-park-west-amphitheatre-1989-07-15,8/5/1989,ticket_prices,"['20/318/317/', '15']","['20/18/17/', '15']",
steve-miller-red-racks-amphitheatre-None,8/5/1989,dates,['July'],['July 11'],
rod-stewart-meadowlands-arena-1989-08-11,8/26/1989,gross_receipts_us,,386000,
rod-stewart-meadowlands-arena-1989-08-11,8/26/1989,attendance,,19300,
"peter,-paul-&-mary-wolf-trap-farm-park-1989-07-28",8/26/1989,ticket_prices,['20/813'],['20/13'],
tiffany-seashore-performing-arts-center-1989-08-10,8/26/1989,attendance,,11114,
tiffany-seashore-performing-arts-center-1989-08-10,8/26/1989,ticket_prices,[],['19/18'],
bb.-king-regal-theatre-1989-08-04,8/26/1989,attendance,848,8848,
the-bangles-jones-beach-theatre-None,8/26/1989,dates,['Aug.'],['Aug. 11'],
the-bangles-jones-beach-theatre-None,8/26/1989,gross_receipts_us,,179440,
the-bangles-jones-beach-theatre-None,8/26/1989,attendance,,8972,
boston-pops-wolf-trap-farm-duly-park-None,8/26/1989,dates,['23'],['July 23'],
ozzy-osbourne-arco-arena-1989-08-05,8/26/1989,attendance,77,7117,
the-rolling-stones-alpine-valley-music-theatre-n-None,9/30/1989,dates,"['Sept. 8,9,']","['Sept. 8,9,', '11']",
the-rolling-stones-alpine-valley-music-theatre-n-None,9/30/1989,gross_receipts_us,,2941882,
the-rolling-stones-alpine-valley-music-theatre-n-None,9/30/1989,attendance,,105995,
the-rolling-stones-alpine-valley-music-theatre-n-None,9/30/1989,ticket_prices,['32.50/'],['32.50/26.50'],
the-who--oawiana.-alameda-county-stadium-1989-08-29,9/30/1989,gross_receipts_us,,2548325,
the-who--oawiana.-alameda-county-stadium-1989-08-29,9/30/1989,attendance,,101933,
the-rolling-stones-riverfront-uving-colour-stadium-1989-09-14,9/30/1989,gross_receipts_us,,1522536,
the-rolling-stones-carter-finley-stadium-1989-09-16,9/30/1989,attendance,,52881,
the-cure-dodger-stadium-1989-09-08,9/30/1989,gross_receipts_us,,1243525,
the-cure-dodger-stadium-1989-09-08,9/30/1989,attendance,,50000,
the-who-astrodome-houston-concerts-1989-09-02,9/30/1989,gross_receipts_us,,803835,
the-who-astrodome-houston-concerts-1989-09-02,9/30/1989,attendance,,35726,
bok-jowi-irvine-meadows-sxio-row-amphitheatre-1989-09-10,9/30/1989,gross_receipts_us,,632773,
bok-jowi-irvine-meadows-sxio-row-amphitheatre-1989-09-10,9/30/1989,attendance,,30000,
bok-jowi-irvine-meadows-sxio-row-amphitheatre-1989-09-10,9/30/1989,ticket_prices,"['25/822.50/', '18.50']","['25/22.50/', '18.50']",
80m-jovi-calexpo-amphitheatre-None,9/30/1989,gross_receipts_us,,551485,
80m-jovi-calexpo-amphitheatre-None,9/30/1989,attendance,,28000,
the-cure-shoreline-amphitheatre-1989-09-10,9/30/1989,ticket_prices,,['18.50/17.50'],
newakids-on-the-block-providence-civic-frank).-russo-center-1989-09-17,9/30/1989,gross_receipts_us,,268509,
newakids-on-the-block-providence-civic-frank).-russo-center-1989-09-17,9/30/1989,attendance,,14514,
"the-judds-western-washington-fairgrounds-puyallup,-1989-09-09",9/30/1989,attendance,,17325,
"the-judds-western-washington-fairgrounds-puyallup,-1989-09-09",9/30/1989,ticket_prices,['10/39'],['10/9'],
bon-jo-arizona-sxio-row-veterans-memorial-coliseum-&-state-fairgrounds-1989-09-12,9/30/1989,ticket_prices,"['19.50/518.50/', '10.35']","['19.50/18.50/', '10.35']",
the-cure-oakland--alameda-county-coliseum-1989-09-09,9/30/1989,ticket_prices,[],['18.50'],
the-cure-san-diego-sports-arena-1989-09-12,9/30/1989,ticket_prices,['1850'],['18.50'],
|--he-cure-compton-terrace-1989-09-13,9/30/1989,attendance,,12007,
|--he-cure-compton-terrace-1989-09-13,9/30/1989,ticket_prices,,"['18.50/17.50/', '16.50']",
stevie-nicks.-jories-beach-theatre-1989-08-25,9/30/1989,gross_receipts_us,,203660,
stevie-nicks.-jories-beach-theatre-1989-08-25,9/30/1989,attendance,,10183,
"the-rolling-stones-rfk-stadium-washington,-fe]-None",10/14/1989,dates,['Sept. 24-'],"['Sept. 24-', '25']",
metallica-irvine-meadows-amphitheatre-None,10/14/1989,dates,"['Sept. 21-', '2B']","['Sept. 21-', '23']",
vicente-fernanoez-los-angeles-sports-arena-1989-10-01,10/14/1989,ticket_prices,['30/25/'],"['30/25/', '15/10']",
john-denver-wolf-trap-farm-park-uv-None,10/14/1989,dates,"['Sept. 16-', '925/315 14,000']","['Sept. 16-', '925/315 14,000', '17']",
john-denver-wolf-trap-farm-park-uv-None,10/14/1989,ticket_prices,[],['25/15'],
agmrecords-children's-|-carnegie-hall-None,10/14/1989,dates,['Sept. 16-'],"['Sept. 16-', '17']",
mickey-rooney-&-donald-rialto-square-o'connor-theatre-1989-09-23,10/14/1989,dates,"['Sept. 23-', '2']","['Sept. 23-', '24']",
grateful-dead-charoltte-coliseum-1989-10-22,11/11/1989,attendance,,445476,
"benefit-for-amarillo-carl-farley-coliseum,-amarillo-civic-district)-center-civic-1989-10-16",11/11/1989,ticket_prices,"['250/100/', '50/815']","['250/100/', '50/15']",
jerry-lee-lewis/chuck-fox-theatre-1989-10-18,11/11/1989,attendance,,4506,
"reba-mcentire.-von-braun-civic-huntsville,-1989-10-21",11/11/1989,artists,"['REBA', 'HIGHWAY', 'TRADER PRICE']","['REBA McENTIRE', 'HIGHWAY', 'TRADER PRICE']",
"reba-mcentire.-von-braun-civic-huntsville,-1989-10-21",11/11/1989,location,"['McENTIRE. Von Braun Civic', 'Huntsville, Ala.']","['Von Braun Civic', 'Huntsville, Ala.']",
"reba-mcentire-music-hall,-tucson-community-center-1989-10-12",11/11/1989,artists,"['REBA', 'EDDIE RABBITT', 'TRADER PRICE']","['REBA McENTIRE', 'EDDIE RABBITT', 'TRADER PRICE']",
"reba-mcentire-music-hall,-tucson-community-center-1989-10-12",11/11/1989,location,"['McENTIRE Music Hall,', 'Tucson', 'Community', 'Center', 'Tucson, Ariz.']","['Music Hall,', 'Tucson', 'Community', 'Center', 'Tucson, Ariz.']",
the-rolling-stones-pontiac-silverdome-1989-12-09,1/6/1990,ticket_prices,[],['31'],
"billy-joel-centeum-in-worcester-worcester,-1989-12-06",1/6/1990,gross_receipts_us,,1621958,
"billy-joel-centeum-in-worcester-worcester,-1989-12-06",1/6/1990,attendance,,72087,
"motley-crue-centrum-in-worcester-worcester,-1989-12-15",1/6/1990,gross_receipts_us,,521528,
"motley-crue-centrum-in-worcester-worcester,-1989-12-15",1/6/1990,attendance,,26745,
paul-mecarthey-memorial-stadium-univ.-of-california-None,4/14/1990,artists,['PAUL'],['PAUL McCARTNEY'],
paul-mecarthey-memorial-stadium-univ.-of-california-None,4/14/1990,dates,"['March 31-', 'April']","['March 31-', 'April 1']",
paul-mecarthey-memorial-stadium-univ.-of-california-None,4/14/1990,gross_receipts_us,,3550560,
paul-mecarthey-memorial-stadium-univ.-of-california-None,4/14/1990,attendance,,118352,
paul-mecarthey-memorial-stadium-univ.-of-california-None,4/14/1990,location,"['MeCARTHEY Memorial', 'Stadium', 'Univ. of', 'California', 'Berkeley', 'Berkeley, Calif']","['Memorial', 'Stadium', 'Univ. of', 'California', 'Berkeley', 'Berkeley, Calif.']",
grateful-dead-knickerbocker-arena-1990-03-24,4/14/1990,dates,"['March 24', '6']","['March 24-', '26']",
grateful-dead-knickerbocker-arena-1990-03-24,4/14/1990,gross_receipts_us,,921262,
grateful-dead-knickerbocker-arena-1990-03-24,4/14/1990,attendance,,48993,
grateful-dead-knickerbocker-arena-1990-03-24,4/14/1990,location,"['Knickerbocker', 'Arena', 'Albany, N.Y. Cross Country', 'Concerts', 'Metropolitan', '-', 'Entertainment']","['Knickerbocker', 'Arena', 'Albany, N.Y.']",
new-kids-on-the-block-meadowlands-arena-1990-03-25,4/14/1990,artists,"['NEW KIDS ON THE BLOCK', 'SWEET SENSATION', 'BOBBY ROSS AVILA', 'PERFECT GENTLEMEN NJ']","['NEW KIDS ON THE BLOCK', 'SWEET SENSATION', 'BOBBY ROSS AVILA', 'PERFECT GENTLEMEN']",
new-kids-on-the-block-meadowlands-arena-1990-03-25,4/14/1990,dates,"['March 25-', '6']","['March 25-', '26']",
new-kids-on-the-block-meadowlands-arena-1990-03-25,4/14/1990,gross_receipts_us,,794694,
new-kids-on-the-block-meadowlands-arena-1990-03-25,4/14/1990,attendance,,40000,
new-kids-on-the-block-meadowlands-arena-1990-03-25,4/14/1990,location,"['Meadowlands', 'Arena', 'East Rutherford,']","['Meadowlands', 'Arena', 'East Rutherford,', 'NJ']",
janet-jackson-capital-centre-1990-03-22,4/14/1990,artists,"['JANET JACKSON', 'CHUCKI BOOKER']","['JANET JACKSON', 'CHUCKII BOOKER']",
janet-jackson-capital-centre-1990-03-22,4/14/1990,dates,['March 22.'],"['March 22', '& 29']",
janet-jackson-capital-centre-1990-03-22,4/14/1990,gross_receipts_us,,765112,
janet-jackson-capital-centre-1990-03-22,4/14/1990,attendance,,34581,
janet-jackson-capital-centre-1990-03-22,4/14/1990,ticket_prices,[],['22.50'],
|”-grateful-dead-cops-coliseum-1990-03-21,4/14/1990,dates,"['March 21-', '2']","['March 21-', '22']",
|”-grateful-dead-cops-coliseum-1990-03-21,4/14/1990,gross_receipts_us,,743913,
|”-grateful-dead-cops-coliseum-1990-03-21,4/14/1990,attendance,,34220,
|”-grateful-dead-cops-coliseum-1990-03-21,4/14/1990,location,"['Cops Coliseum', 'Hamilton,', 'Ontario Canadian) Donald K. Donald', 'Metropolitan', 'Entertainment']","['Cops Coliseum', 'Hamilton,', 'Ontario']",
benefit-for-mercy-charlotte-coliseum-1990-03-24,4/14/1990,gross_receipts_us,,692961,
benefit-for-mercy-charlotte-coliseum-1990-03-24,4/14/1990,attendance,,12601,
benefit-for-mercy-charlotte-coliseum-1990-03-24,4/14/1990,ticket_prices,['100/45/830'],['100/45/30'],
new-kids-on-the-block-nassau-veterans-memorial-1990-03-15,4/14/1990,artists,"['NEW KIDS ON THE BLOCK', 'SWEET SENSATION', 'PERFECT GENTLEMAN']","['NEW KIDS ON THE BLOCK', 'SWEET SENSATION', 'PERFECT GENTLEMAN', '(16TH)']",
new-kids-on-the-block-nassau-veterans-memorial-1990-03-15,4/14/1990,gross_receipts_us,,689913,
new-kids-on-the-block-nassau-veterans-memorial-1990-03-15,4/14/1990,attendance,,36000,
new-kids-on-the-block-nassau-veterans-memorial-1990-03-15,4/14/1990,location,"['Nassau', 'Veterans', 'Memorial', 'Uniondale, N.Y.']","['Nassau', 'Veterans', 'Memorial', 'Coliseum', 'Uniondale, N.Y.']",
"janet-jackson-centrum-in-worcester-worcester,-1990-03-26",4/14/1990,artists,"['JANET JACKSON', 'CHUCKH BOOKER']","['JANET JACKSON', 'CHUCKII BOOKER']",
"janet-jackson-centrum-in-worcester-worcester,-1990-03-26",4/14/1990,gross_receipts_us,,600458,
"janet-jackson-centrum-in-worcester-worcester,-1990-03-26",4/14/1990,attendance,,27600,
"rush-oakland--alameda-county-coliseum-oaktand,-1990-03-30",4/14/1990,gross_receipts_us,,509438,
"rush-oakland--alameda-county-coliseum-oaktand,-1990-03-30",4/14/1990,attendance,,26125,
|-ericclapton-dean-e.-smith-c&c-entertainment-center-1990-03-31,4/14/1990,location,"['Dean E. Smith', 'C&C Entertainment', 'Center', 'Univ. of North', 'Carolina,Chapel', 'Hil', 'Chape! Hill, N.C']","['Dean E. Smith', 'Center', 'Univ. of North', 'Carolina,Chapel', 'Hill', 'Chapel Hill, N.C']",
eric-clapton-charlotte-cellar-door-prods-coliseum-1990-03-30,4/14/1990,gross_receipts_us,,441225,
eric-clapton-charlotte-cellar-door-prods-coliseum-1990-03-30,4/14/1990,attendance,,19969,
eric-clapton-charlotte-cellar-door-prods-coliseum-1990-03-30,4/14/1990,location,"['Charlotte', 'Cellar Door Prods', 'Coliseum', 'Chariotte, n.c']","['Charlotte', 'Coliseum', 'Charlotte, N.C.']",
new-kids-on-the-block-copps-coliseum-concert-prods-1990-03-23,4/14/1990,gross_receipts_us,,361914,
new-kids-on-the-block-copps-coliseum-concert-prods-1990-03-23,4/14/1990,attendance,,17829,
new-kids-on-the-block-copps-coliseum-concert-prods-1990-03-23,4/14/1990,location,"['Copps Coliseum', 'Concert Prods', 'Hamilton,', 'Ontario Canadian) Donald K. Donald', 'Prods']","['Copps Coliseum', 'Hamilton,', 'Ontario']",
alice-cooper-fox-theatre-None,4/14/1990,dates,['March 18-'],"['March 18-', '21']",
alice-cooper-fox-theatre-None,4/14/1990,gross_receipts_us,,361050,
alice-cooper-fox-theatre-None,4/14/1990,attendance,,17525,
alice-cooper-fox-theatre-None,4/14/1990,location,"['Fox Theatre', 'Brass Ring Prods.', 'Detroit a']","['Fox Theatre', 'Detroit']",
gloria-estefan-and-miami-meadowlands-1990-03-04,4/14/1990,artists,"['GLORIA ESTEFAN & MIAMI', 'SOUND MACHINE', 'CHAS ELSTNER', 'NJ']","['GLORIA ESTEFAN & MIAMI', 'SOUND MACHINE', 'CHAS ELSTNER']",
gloria-estefan-and-miami-meadowlands-1990-03-04,4/14/1990,location,"['Meadowlands', 'Arena', 'East Rutherford,']","['Meadowlands', 'Arena', 'East Rutherford,', 'NJ']",
gloria-estefan-&-miami-meadowlands-arena-1990-03-04,4/14/1990,gross_receipts_us,,313658,
gloria-estefan-&-miami-meadowlands-arena-1990-03-04,4/14/1990,attendance,,16757,
eric-clapton-the-omni-atlanta-1990-03-28,4/14/1990,gross_receipts_us,,313658,
eric-clapton-the-omni-atlanta-1990-03-28,4/14/1990,attendance,,16757,
oana-ross.-copps-coliseum-1990-03-31,4/14/1990,artists,['OANA ROSS.'],['DIANA ROSS'],
oana-ross.-copps-coliseum-1990-03-31,4/14/1990,ticket_prices,[],['28.50'],
oana-ross.-copps-coliseum-1990-03-31,4/14/1990,location,"['Copps Coliseum', 'Hamilton,', 'Ontario Canadian) Donald K. Donald', 'Prods.']","['Copps Coliseum', 'Hamilton,', 'Ontario']",
|-the-highwaymen:-nassau-metropolitan-veterans-memorial-coliseum-1990-03-14,4/14/1990,ticket_prices,['22.50/820'],['22.50/20'],
|-the-highwaymen:-nassau-metropolitan-veterans-memorial-coliseum-1990-03-14,4/14/1990,location,"['Nassau', 'Metropolitan', 'Veterans', 'Memorial', 'Coliseum', 'Uniondale, N.Y.']","['Nassau', 'Veterans', 'Memorial', 'Coliseum', 'Uniondale, N.Y.']",
"cher-starplex-amphitheatre,-state-concerts-fairgrounds-of-1990-03-31",4/14/1990,location,"['Starplex', 'Amphitheatre,', 'State', 'Concerts', 'Fairgrounds of', 'Texas', 'Dallas']","['Starplex', 'Amphitheatre,', 'State', 'Fairgrounds of', 'Texas', 'Dallas']",
jerry-lewis-fox-theatre-1990-03-08,4/14/1990,ticket_prices,"['37.50/83250/', '25/820']","['37.50/32.50/', '25/20']",
rush-arco-arena-1990-03-28,4/14/1990,artists,"['RUSH ARCO', 'MR. BIG']","['RUSH', 'MR. BIG']",
rush-arco-arena-1990-03-28,4/14/1990,location,"['Arena', 'Sacramento,', 'Calif']","['ARCO Arena', 'Sacramento,', 'Calif']",
"rush-coliseum,-seattle-center-1990-03-26",4/14/1990,artists,"['RUSH', 'MR. BIG', 'L']","['RUSH', 'MR. BIG']",
"rush-coliseum,-seattle-center-1990-03-26",4/14/1990,gross_receipts_us,,219410,
"rush-coliseum,-seattle-center-1990-03-26",4/14/1990,attendance,,12299,
|-randy-travis-knickerbocker-arena-1990-03-30,4/14/1990,gross_receipts_us,,209254,
|-randy-travis-knickerbocker-arena-1990-03-30,4/14/1990,attendance,,11551,
alabama-richmond-coliseum-1990-03-24,4/14/1990,gross_receipts_us,,183750,
alabama-richmond-coliseum-1990-03-24,4/14/1990,attendance,,10500,
"alabama,-buffalo-memorial-auditorium-1990-03-23",4/14/1990,gross_receipts_us,,183600,
"alabama,-buffalo-memorial-auditorium-1990-03-23",4/14/1990,attendance,,10200,
"alabama,-buffalo-memorial-auditorium-1990-03-23",4/14/1990,ticket_prices,[],['18'],
whitesnake-|-reunion-arena-1990-03-17,4/14/1990,artists,"['WHITESNAKE |', 'PACE']","['WHITESNAKE', 'BAD ENGLISH']",
whitesnake-|-reunion-arena-1990-03-17,4/14/1990,attendance,,10091,
whitesnake-|-reunion-arena-1990-03-17,4/14/1990,location,"['Reunion Arena', 'Concerts', '_ BAD ENGLISH Dallas |_']","['Reunion Arena', 'Dallas']",
phil-collins-nassau-veterans-memorial-coliseum-1990-05-31,6/16/1990,attendance,62500,52500,
phil-collins-nassau-veterans-memorial-coliseum-1990-05-31,6/16/1990,promoter,['Ron Delsener'],"['Ron Delsener', 'Enterprises']",
