event_signature,issue_date,field,original_value,true_value,correction_reason
"billy-ocean-the-copa-toronto,-www.americanradiohistory.com-1985-01-23",2/9/1985,ticket_prices,['4'],['14'],
deep-purple-the-centrum-1985-02-28,3/16/1985,ticket_prices,['13'],['13.50/12.50'],
kenny-rogers-freedom-hall-1985-03-01,3/16/1985,attendance,,14263,
kenny-rogers-freedom-hall-1985-03-01,3/16/1985,ticket_prices,['17'],['17.50/15.50'],
"alabama-soulh-fla,-fairgrounds-1985-02-24",3/16/1985,ticket_prices,,['15'],
chicago-mid-south-coliseum-1985-03-03,3/16/1985,attendance,,11171,
statler-brothers-holiday-star-theater-None,3/16/1985,dates,"['Feb,']",['Feb 24-24'],
statler-brothers-holiday-star-theater-None,3/16/1985,gross_receipts_us,,167050,
statler-brothers-holiday-star-theater-None,3/16/1985,attendance,,13296,
reo-speedwagon-greensboro-nc-coliseum-1985-03-01,3/16/1985,artists,['REO SPEEDWAGON'],"['REO SPEEDWAGON', 'SURVIVOR']",
alabama-jacksonuille-(fla.)-coliseum-1985-02-22,3/16/1985,ticket_prices,[],['15'],
reo-speedwagon-rochester-(n.y.)-community-war-memorial-1985-02-19,3/16/1985,ticket_prices,['13.50/312.50'],['13.50/12.50'],
eddie-murphy-leon-county-civic-center-1985-02-26,3/16/1985,ticket_prices,[],['14'],
new-edition-augusta-(ga.}-civic-center-1985-02-28,3/16/1985,ticket_prices,[],['11/10'],
temptations-fox-theatre-1985-02-21,3/16/1985,gross_receipts,26949,86949,
ronnie-milsap-albany-(ga.)-crve-center-1985-03-01,3/16/1985,artists,"['RONNIE MILSAP', 'JERRY REED']","['RONNIE MILSAP', 'JUDDS', 'JERRY REED']",
tears-for-fears-ottawa-ont-civic-center-1985-06-03,6/15/1985,promoter,['Concert Prods. International/Donald'],"['Concert Prods. International/Donald', 'K. Donald/Bass Clef']",
howard-jones-greek-theatre-1985-06-01,6/15/1985,attendance,61777,6177,Source typo
van-morrison-capitol-theatre-1985-05-18,6/15/1985,promoter,"['Monarch Entertainment Bureau/St,']","['Monarch Entertainment Bureau/St.', 'Pauli Girl Concert Series]",
frankie-goes-tohollywood-fox-theater-1985-05-26,6/15/1985,gross_receipts_us,,37221,
frankie-goes-tohollywood-fox-theater-1985-05-26,6/15/1985,attendance,,2707,
frankie-goes-tohollywood-fox-theater-1985-05-26,6/15/1985,promoter,"['Prods.', '3,985']",['Alex Cooley Prods.'],
george-benson-radio-city-music-halt-None,6/22/1985,dates,"['May 30-', 'June']","['May 30-', 'June 1']",
"alabama-sandstone-bonner-springs,-1985-06-02",6/22/1985,attendance,,15102,
patti-labelle-greek-theatre-None,6/22/1985,dates,['7'],['June 7'],
fresh-fest-two-carolina-coliseum-1985-06-09,6/22/1985,attendance,,7715,
fresh-fest-two-carolina-coliseum-1985-06-09,6/22/1985,ticket_prices,,['11'],
kenny-loggins-market-square-arena-None,6/22/1985,artists,"['KENNY LOGGINS', 'MARK']","['KENNY LOGGINS', 'MARK McCOLLUM']",
kenny-loggins-market-square-arena-None,6/22/1985,gross_receipts_us,,79540,
kenny-loggins-market-square-arena-None,6/22/1985,attendance,,5892,
kenny-loggins-market-square-arena-None,6/22/1985,dates,['June'],['June 4'],
luther-vandross-lakeland-(fla.)-civic-center-None,6/22/1985,dates,['2'],['June 2'],
happy-together-tour-audobon-zoo-new-orleans-None,6/22/1985,dates,['June'],['June 5'],
happy-together-tour-audobon-zoo-new-orleans-None,6/22/1985,gross_receipts_us,,49746,
happy-together-tour-audobon-zoo-new-orleans-None,6/22/1985,attendance,,4609,
luther-vandross-the-aladdin-las-vegas-1985-06-07,6/22/1985,ticket_prices,['18/516'],['18/16'],
jimmy-sturr-band-garden-state-arts-center-1985-06-02,6/22/1985,ticket_prices,[],['11/9/7'],
petra-market-square-arena-1985-05-25,6/22/1985,ticket_prices,['10.50/48.50'],['10.50/8.50'],
santana-fox-theatre-None,6/22/1985,dates,['June'],['June 4'],
santana-fox-theatre-None,6/22/1985,gross_receipts_us,,36231,
santana-fox-theatre-None,6/22/1985,attendance,,2635,
santana-fox-theatre-None,6/22/1985,ticket_prices,['1375'],['13.75'],
jimmy-sturr-band-vernon-valley-(n.j.)-action-park-1985-05-26,6/22/1985,ticket_prices,[],['7'],
petra-prairie-capital-convention-center-1985-05-30,6/22/1985,ticket_prices,['11/99.50'],['11/9.50'],
jeffrey-osborne-celebrity-theater-1985-06-06,6/22/1985,ticket_prices,[],['15'],
jeffrey-osborne-celebrity-theater-1985-06-06,6/22/1985,attendance,,1726,
petra-mecca-arena-milwaukee-1985-05-27,6/22/1985,artists,"['PETRA MECCA', 'RANDY STONEHILL']","['PETRA', 'RANDY STONEHILL']",
petra-mecca-arena-milwaukee-1985-05-27,6/22/1985,location,"['Arena', 'Milwaukee']","['MECCA Arena', 'Milwaukee']",
petra-mecca-arena-milwaukee-1985-05-27,6/22/1985,ticket_prices,['10.50/58.50'],['10.50/8.50'],
smiths-royal-qak-(mich.)-music-theater-1985-06-08,6/22/1985,ticket_prices,[],['14'],
phil-collins-and-his-hot-tub-mcnichols-sports-arena-1985-06-13,7/6/1985,artists,['PHIL COLLINS & HIS HOT TUB'],"['PHIL COLLINS & HIS HOT TUB', 'CLUB]",
phil-collins-and-his-hot-tub-mcnichols-sports-arena-1985-06-13,7/6/1985,location,"['McNichols Sports Arena', 'cLuB Denver']","['McNichols Sports Arena', 'Denver']",
kenny-loggins-radio-city-music-hall-None,7/6/1985,dates,['14-15'],['June 14-15'],
kenny-loggins-radio-city-music-hall-None,7/6/1985,artists,"['KENNY LOGGINS', 'MARK']","['KENNY LOGGINS', 'MARK McCOLLUM']",
kenny-loggins-radio-city-music-hall-None,7/6/1985,location,"['Radio City Music Hall dune', 'McCOLLUM New York']","['Radio City Music Hall', 'New York']",
howard-jones-red-rocks-amphitheatre-1985-06-12,7/6/1985,ticket_prices,[],['13.75/12.65'],
howard-jones-red-rocks-amphitheatre-1985-06-12,7/6/1985,artists,['HOWARD JONES'],"['HOWARD JONES', 'RED 7']",
howard-jones-red-rocks-amphitheatre-1985-06-12,7/6/1985,location,['Red Rocks Amphitheatre'],"['Red Rocks Amphitheatre', 'Denver']",
