entity_id,segment_id,year,quarter,metric_id,sub_metric_id,value,currency,org_currency,conversion_rate,decimal_conversion,scope,source_extracted_id,source_type,source_original_id,data_quality,source_uri,notes
spotify,ad_supported,2024,,revenue,,2150640000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,spotify,,,
spotify,total,2015,Q1,monthly_active_users,,68000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2015,Q2,monthly_active_users,,77000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2015,Q3,monthly_active_users,,82000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2015,Q4,monthly_active_users,,91000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2016,Q1,monthly_active_users,,96000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2016,Q2,monthly_active_users,,104000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2016,Q3,monthly_active_users,,113000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2016,Q4,monthly_active_users,,123000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2017,Q1,monthly_active_users,,132000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2017,Q2,monthly_active_users,,138000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2017,Q3,monthly_active_users,,149000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2017,Q4,monthly_active_users,,160000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2018,Q1,monthly_active_users,,157000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2018,Q2,monthly_active_users,,180000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2018,Q3,monthly_active_users,,191000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2018,Q4,monthly_active_users,,207000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2019,Q1,monthly_active_users,,217000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2019,Q2,monthly_active_users,,232000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2019,Q3,monthly_active_users,,248000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2019,Q4,monthly_active_users,,271000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2020,Q1,monthly_active_users,,286000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2020,Q2,monthly_active_users,,299000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
