id,name,slug
253,North American,north-american,
254,Tibor Rudas,tibor-rudas,
255,Bill Graham,bill-graham,
256,Concert Promotions,concert-promotions,
257,Maxima,maxima,
258,Keith Fowler Promotions,keith-fowler-promotions,
259,Bill Graham sellout,bill-graham-sellout,
260,Mid-South,mid-south,
261,Perryscope,perryscope,
262,New Era Prods.,new-era-prods,
263,Live Prods.,live-prods,
264,"Sound Seventy Prods,",sound-seventy-prods,
265,Schon,schon,
266,Stone City,stone-city,
267,Monarch Entertainment John Scher Presents,monarch-entertainment-john-scher-presents,
268,Shepardson,shepardson,
269,Monarch John Scher Presents,monarch-john-scher-presents,
270,New England,new-england,
271,Feyiine Presents,feyiine-presents,
272,"Eric Chandler,",eric-chandler,
273,Jam,jam,
274,Nederlander,nederlander,
275,Concord Pavilion,concord-pavilion,
276,Oon Law,oon-law,
277,Cellar Door,cellar-door,
278,Donald K.,donald-k,
279,Bill Graham,bill-graham,
280,Warwick Music Theater,warwick-music-theater,
281,Chicago Theater Prods.,chicago-theater-prods,
282,Sunshine,sunshine,
283,New Mexico State Fair,new-mexico-state-fair,
284,Media One,media-one,
285,Nederlander Organization,nederlander-organization,
286,Eric Ltd.,eric-ltd,
287,Al Haymon,al-haymon,
288,Monarch Entertainment John Scher Presents,monarch-entertainment-john-scher-presents,
289,Jam,jam,
290,North American,north-american,
291,Nederlander,nederlander,
292,Pate & Biue Live Entertainment,pate-biue-live-entertainment,
293,Jam Company,jam-company,
294,Concerts Prods.,concerts-prods,
295,North American Monarch Entertainment Bureau,north-american-monarch-entertainment-bureau,
296,North American Magic City Prods.,north-american-magic-city-prods,
297,Alex Southern Promotions,alex-southern-promotions,
298,Tom Moffatt Prods.,tom-moffatt-prods,
299,In The Country Calhoun Calhoun,in-the-country-calhoun-calhoun,
300,Chicago Jam Concerts,chicago-jam-concerts,
301,Perryscope Concerts,perryscope-concerts,
302,Pate & Blue Live Entertainment,pate-blue-live-entertainment,
303,Concert Prods. Donald K. Donald Prods.,concert-prods-donald-k-donald-prods,
304,H.G.M. Barry Singer,h-g-m-barry-singer,
305,North American Donatd K. Donald,north-american-donatd-k-donald,
306,Creative Concerts,creative-concerts,
307,Silver Star,silver-star,
308,Northeast Concerts,northeast-concerts,
309,Music Futures Presents,music-futures-presents,
310,Michael Campbell Prods.,michael-campbell-prods,
311,West Central Prods.,west-central-prods,
312,Third Coast Prods.,third-coast-prods,
313,GW. Concerts Prods.,gw-concerts-prods,
314,"Larry Vaughn Presents,",larry-vaughn-presents,
315,Beaver,beaver,
316,Dicesare-Engler,dicesare-engler,
317,Eric,eric,
318,Chandler,chandler,
319,West Central,west-central,
320,Avaton sellout,avaton-sellout,
321,Solomonic,solomonic,
322,Varnell Ents.,varnell-ents,
323,Stardate Concerts,stardate-concerts,
324,Dicesare-Engler Presents,dicesare-engler-presents,
325,Varnell Enterprises,varnell-enterprises,
326,Frank Erwin Center,frank-erwin-center,
327,Braden Auditorium,braden-auditorium,
328,Monarch Entertaiment Bureau,monarch-entertaiment-bureau,
329,Michae} Schivo,michae-schivo,
330,Double Tee Prods.,double-tee-prods,
331,Northern Stage Co.,northern-stage-co,
332,Stellar,stellar,
333,Jayson,jayson,
334,Dominsions,dominsions,
335,Varnell Enterprises,varnell-enterprises,
336,Gehl Corp.,gehl-corp,
337,Fowler,fowler,
338,Florida Community Magic Promotions,florida-community-magic-promotions,
339,Festival Ventures,festival-ventures,
340,Little Wing Prods.,little-wing-prods,
341,Fox David Fay,fox-david-fay,
342,Chandler Ltd.,chandler-ltd,
343,Jayson Musicentre Prods.,jayson-musicentre-prods,
344,Cnandler Ltd.,cnandler-ltd,
345,Celiar Door Prods.,celiar-door-prods,
346,Cellar Door sellout,cellar-door-sellout,
347,Eric,eric,
348,Kaleidoscope,kaleidoscope,
349,Celtar Door,celtar-door,
350,Festival Washington Theatre League,festival-washington-theatre-league,
351,Radio City Music Hall Prods.,radio-city-music-hall-prods,
352,Stellar,stellar,
353,Turning Point Preds. (John Ray),turning-point-preds-john-ray,
354,sellout. Fantasma Prods.,sellout-fantasma-prods,
355,Carlton Celebrity Theatre,carlton-celebrity-theatre,
356,American,american,
357,Stardate Concerts,stardate-concerts,
358,Turning Point Prods. (John Ray),turning-point-prods-john-ray,
359,Arch Angel,arch-angel,
360,Cellar Door Concerts,cellar-door-concerts,
361,Richard Nader Entertainment,richard-nader-entertainment,
362,Wiltern Theatre,wiltern-theatre,
363,Jam Prods. Ltd.,jam-prods-ltd,
364,Stellar Gehl Corp.,stellar-gehl-corp,
365,Southern Stage Right Prods.,southern-stage-right-prods,
366,Contemporary Artist Consultants Prods.,contemporary-artist-consultants-prods,
367,The Space Agency,the-space-agency,
368,Fiesta,fiesta,
369,Silver River,silver-river,
370,Mel-Ton Prods.,mel-ton-prods,
371,Hank Hamilton,hank-hamilton,
372,DiCeseare Engler Prods.,diceseare-engler-prods,
373,Dimensions,dimensions,
374,Jayson,jayson,
375,Stellar Entertainment,stellar-entertainment,
376,Arena,arena,
377,sellout John Scher Presents,sellout-john-scher-presents,
378,Stellar Gehl Corp.,stellar-gehl-corp,
379,Varnell Ents.,varnell-ents,
380,Norby Walters,norby-walters,
381,Avalon Concerts West,avalon-concerts-west,
382,Central Alabama Music Park,central-alabama-music-park,
383,Steltar Gehl Corp.,steltar-gehl-corp,
384,Donald K. Donald Prods.,donald-k-donald-prods,
385,Fox Concerts,fox-concerts,
386,Concert In The Country Lanierland Cumming,concert-in-the-country-lanierland-cumming,
387,Paciticoncerts,paciticoncerts,
388,Greg,greg,
389,New Era Nolan Reeves Music,new-era-nolan-reeves-music,
390,Larry Vaughn Presents,larry-vaughn-presents,
391,Jam Prods. Ltd,jam-prods-ltd,
392,Celiar Door,celiar-door,
393,Double Tee,double-tee,
394,Varnel!,varnel,
395,"Varnell Ents,",varnell-ents,
396,Fey Concert Co,fey-concert-co,
397,Radio City Music Hall Prods.,radio-city-music-hall-prods,
398,Ron Delsener Ents.,ron-delsener-ents,
399,CDG Entertainment,cdg-entertainment,
400,Fey Concert,fey-concert,
401,Stageright,stageright,
402,Electric Factory Dr. J. Ents,electric-factory-dr-j-ents,
403,Lewis Grey Attractions Concert,lewis-grey-attractions-concert,
404,Bill Graham Presents Cal,bill-graham-presents-cal,
405,“T ace Concerts,t-ace-concerts,
406,Jam Prods. Company,jam-prods-company,
407,Music Hall,music-hall,
408,Dimensions,dimensions,
409,Law,law,
410,Varnell,varnell,
411,Don taw,don-taw,
412,Jam Prods. Ltd.,jam-prods-ltd,
413,Attractions,attractions,
414,DiCesare-Engler,dicesare-engler,
415,Bassclef Entertainment Concert Prods. International,bassclef-entertainment-concert-prods-international,
416,Fey Concert Co.,fey-concert-co,
417,Varnell Enterprises.,varnell-enterprises,
418,Bassclel Entertainment Concert Prods. International,bassclel-entertainment-concert-prods-international,
419,Ron Delsener Enterprises,ron-delsener-enterprises,
420,Bureau,bureau,
421,G Street Stageright,g-street-stageright,
