event_id,ticket_price
24594,19.00
24549,14.00
24543,14.00
24150,17.00
24118,13.00
24076,20.00
24077,28.00
24139,19.00
24139,13.00
24266,17.00
24297,13.00
24332,15.00
24299,15.00
24298,5.00
24286,20.00
24316,25.00
24377,30.00
24389,20.00
24355,45.00
24410,17.00
24401,15.00
24399,23.00
24369,18.00
24003,14.00
24031,19.00
24050,30.00
23988,16.00
24010,17.00
24058,18.00
24069,8.00
23785,20.00
23792,14.00
23798,19.00
23748,19.00
23719,17.00
23754,25.00
23754,21.00
24656,23.00
24641,18.00
24676,18.00
24620,19.00
24664,18.00
24645,25.00
24617,23.00
24643,22.00
24625,18.00
23894,18.00
23811,17.00
23865,20.00
23861,16.00
23854,16.00
23848,33.00
24492,16.00
24509,33.00
24444,16.00
24443,15.00
24441,15.00
24484,15.00
24460,19.00
24480,16.00
24482,19.00
24459,16.00
24474,13.00
24442,25.00
24491,25.00
25033,15.00
24983,14.00
24990,38.00
25004,15.00
24963,15.00
25005,14.00
24888,18.00
24947,19.00
24880,19.00
24946,20.00
24894,15.00
24688,26.00
24704,13.00
24709,18.00
24693,20.00
24694,35.00
24692,15.00
24707,17.00
24699,18.00
24842,16.00
24792,24.00
24775,18.00
24814,35.00
24836,15.00
24815,25.00
24204,15.00
24194,20.00
24248,12.00
24172,15.00
24228,17.00
24230,17.00
25084,18.00
25045,30.00
25087,20.00
25083,10.00
25048,24.00
25077,26.00
25079,19.00
23940,50.00
23937,1.00
23950,13.00
23963,21.00
23946,27.00
24570,19.00
24559,17.00
24583,17.00
24545,14.00
24602,18.00
24598,18.00
24522,20.00
24117,13.00
24090,15.00
24077,815.00
24088,20.00
24139,16.00
24104,23.00
24131,13.00
24156,15.00
24148,13.00
24108,18.00
24268,23.00
24287,25.00
24312,20.00
24270,16.00
24261,18.00
24311,18.00
24325,12.00
24395,18.00
24419,23.00
24418,17.00
24406,19.00
24371,16.00
24375,19.00
24405,16.00
24392,13.00
24031,16.00
23988,13.00
24020,19.00
24041,16.00
24051,13.00
24030,15.00
24024,23.00
23985,17.00
23779,15.00
23781,15.00
23736,14.00
23755,18.00
23795,16.00
23752,15.00
23804,16.00
23722,17.00
23767,23.00
23778,28.00
23749,21.00
23803,16.00
23734,14.00
24637,18.00
24650,16.00
24654,18.00
24658,36.00
24632,14.00
24619,18.00
24620,16.00
24645,35.00
24669,15.00
24638,15.00
24627,18.00
24671,19.00
23841,10.00
23863,20.00
23844,16.00
23844,11.00
23847,17.00
23829,13.00
23846,18.00
23814,9.00
23866,30.00
23889,15.00
24449,14.00
24471,9.00
24458,8.00
24464,13.00
24447,15.00
24507,16.00
24475,30.00
24479,18.00
24981,15.00
24969,12.00
25031,17.00
24964,14.00
24978,13.00
25011,16.00
24968,24.00
24975,16.00
24994,20.00
24988,16.00
24974,25.00
25028,13.00
24898,17.00
24884,14.00
24889,15.00
24914,22.00
24896,23.00
24922,15.00
24918,19.00
24932,13.00
24885,10.00
24743,17.00
24757,13.00
24689,14.00
24686,16.00
24763,15.00
24717,24.00
24717,23.00
24855,14.00
24812,18.00
24847,11.00
24850,5.00
24786,13.00
24839,1175.00
24774,21.00
24182,20.00
24207,15.00
24215,18.00
24244,17.00
24249,20.00
24197,18.00
24219,13.00
24189,18.00
24195,15.00
24198,15.00
24240,25.00
25089,25.00
25071,16.00
25103,18.00
25099,17.00
25068,19.00
25108,19.00
25075,16.00
25049,17.00
23965,12.00
23932,36.00
23960,18.00
23940,38.00
23943,25.00
23964,15.00
23939,14.00
23927,20.00
23957,14.00
24532,14.00
24555,13.00
24536,20.00
24512,7.00
24563,14.00
24574,13.00
24538,19.00
24564,19.00
24592,21.00
24530,19.00
24566,15.00
24128,19.00
24138,19.00
24171,12.00
24103,28.00
24106,22.00
24135,18.00
24089,13.00
24114,20.00
24098,40.00
24096,19.00
24332,14.00
24337,19.00
24264,17.00
24282,18.00
24310,25.00
24318,23.00
24279,14.00
24365,14.00
24409,19.00
24378,17.00
24432,16.00
24386,17.00
24412,11.00
24413,19.00
23993,20.00
24035,18.00
24050,15.00
24010,15.00
24029,20.00
23998,18.00
24015,20.00
24040,18.00
24028,15.00
23984,17.00
23747,17.00
23768,13.00
23751,19.00
23729,20.00
23758,11.00
23780,21.00
23719,15.00
23735,19.00
23731,17.00
23772,16.00
23739,15.00
23793,12.00
23787,15.00
24670,11.00
24667,19.00
24685,15.00
24662,19.00
24622,14.00
24643,14.00
24640,18.00
23865,23.00
23876,18.00
23851,38.00
23887,18.00
23891,38.00
23810,19.00
23848,20.00
24471,7.00
24451,28.00
24478,75.00
24473,36.00
24436,16.00
24441,14.00
24477,14.00
24456,16.00
24489,14.00
24961,18.00
24976,35.00
25001,18.00
24983,15.00
24960,23.00
24997,17.00
25004,14.00
25025,17.00
25017,13.00
24986,15.00
24917,14.00
24887,14.00
24890,16.00
24871,15.00
24897,54.00
24872,18.00
24937,15.00
24909,18.00
24906,14.00
24949,17.00
24862,17.00
24690,15.00
24714,18.00
24734,24.00
24742,16.00
24715,12.00
24721,15.00
24720,16.00
24713,18.00
24751,15.00
24741,25.00
24823,16.00
24856,26.00
24855,13.00
24781,14.00
24794,18.00
24826,19.00
24828,17.00
24860,18.00
24772,17.00
24777,15.00
24824,15.00
24846,20.00
24258,21.00
24224,18.00
24186,15.00
24214,100.00
25089,22.00
25091,13.00
25090,13.00
25059,18.00
25103,23.00
25062,16.00
