event_id,artist_id
23985,14
23747,394
23781,275
23774,229
23775,229
23737,218
23722,14
24614,1
24650,110
24615,261
24676,761
24664,740
24645,165
24611,479
24630,121
24625,586
23863,884
23863,963
23819,326
23824,729
23813,453
23821,764
23878,107
23816,920
23837,11
23869,173
24454,772
24468,641
24497,237
24448,261
24441,27
24485,761
24453,497
24486,460
24963,243
25008,197
24956,14
25003,276
25023,243
24944,890
24884,423
24897,667
24934,466
24952,294
24925,884
24868,127
24915,448
24931,176
24894,48
24892,139
24687,139
24723,158
24688,1000
24746,298
24750,742
24767,514
24745,545
24757,29
24740,210
24700,380
24737,38
24820,884
24834,89
24834,94
24855,193
24801,262
24801,658
24825,566
24787,380
24833,372
24853,255
24257,953
24184,554
24215,209
24244,535
24244,534
24183,17
24249,952
24253,12
24206,158
24177,687
24190,757
24191,653
24223,856
24222,276
24213,362
24232,510
25071,362
25045,531
25093,2
25099,703
25048,7
25088,4
25037,127
25075,38
25064,121
25065,99
23934,37
23958,54
23908,669
23957,45
24516,622
24546,651
24572,510
24559,593
24575,427
24588,639
24526,366
24582,426
24528,289
24568,155
24556,830
24554,269
24128,10
24138,805
24157,56
24103,618
24106,36
24139,448
24105,423
24163,758
24126,372
24133,900
24073,14
24127,37
24130,179
24111,305
24151,237
24168,821
24332,24
24282,46
24282,653
24344,264
24280,3
24298,327
24306,310
24285,7
24308,575
24338,212
24307,179
24300,121
24339,251
24328,911
24433,870
24382,158
24371,573
24362,782
24366,435
24352,148
24381,158
24413,805
24017,60
23994,289
23986,14
24002,42
24060,150
24034,372
23779,170
23781,533
23802,245
23741,68
23770,277
23777,817
23766,36
23776,74
23780,510
23738,435
23759,356
24632,308
24680,186
24661,423
24684,4
24663,750
24675,201
24635,859
24672,916
24677,893
24607,14
24608,467
23832,557
23850,361
23830,167
23851,55
24449,191
24468,669
24492,978
24487,394
24447,289
24465,121
24453,512
24456,586
24459,473
24438,14
24457,792
24490,394
24442,49
24463,158
24463,574
24992,593
24998,320
25016,89
25016,94
25007,215
24983,36
24999,145
25010,394
24887,72
24903,552
24928,724
24914,569
24862,283
24878,289
24688,1002
24702,289
24708,783
24697,412
24738,77
24737,110
24705,586
24803,356
24843,633
24805,651
24795,7
24818,117
24785,32
24839,129
24793,39
24831,47
24849,826
24215,208
24202,662
24193,223
24234,394
24210,101
24196,356
25083,161
25083,151
25068,369
25097,974
25100,78
25052,506
25079,37
25108,584
25094,56
25075,110
25049,594
25065,474
23896,494
23926,168
23975,118
23940,976
23955,429
23919,48
23922,651
23944,276
23968,287
23908,287
23943,276
23924,790
23915,675
23905,289
23923,67
23953,215
23971,352
24595,437
24551,442
24511,249
24584,89
24584,94
24574,19
24579,165
24560,274
24580,423
24556,458
24519,27
24581,426
24593,886
24080,479
24138,653
24157,44
24144,766
24084,726
24118,99
24071,816
24097,187
24112,121
24115,591
24121,74
24078,819
24105,136
24104,28
24126,37
24110,747
24096,653
24260,289
24290,325
24264,14
24299,104
24275,897
24261,654
24338,231
24341,243
24331,24
24267,14
24291,651
24274,847
24347,4
24322,416
24394,165
24402,210
24400,310
24418,342
24430,151
24430,524
24385,471
24417,503
24401,160
24401,172
24412,155
24041,721
24016,493
24065,284
24065,45
23977,394
23981,614
24034,37
23983,105
23785,465
23788,89
23762,60
23762,365
23727,861
23786,430
23739,52
24641,646
24651,38
24682,145
24620,435
24605,105
24645,1008
24666,24
24668,860
24638,121
24649,110
24652,37
23807,242
23893,269
23833,586
23824,765
23824,735
23809,948
23809,493
23868,543
23854,37
23820,726
23849,171
23853,38
23855,10
24509,416
24451,947
24452,3
24470,869
24474,247
24489,30
24495,89
24961,49
25018,626
25027,872
24969,42
24984,69
25030,314
24994,569
25005,81
24965,289
24863,626
24873,504
24913,103
24895,660
24941,287
24893,795
24934,451
24934,461
24947,483
24877,337
24879,337
24921,270
24733,55
24736,38
24745,547
24708,789
24771,584
24732,293
24712,241
24727,458
24751,387
24747,465
24788,880
24791,1
24823,26
24799,918
24854,100
24781,257
24852,255
24790,523
24813,99
24775,267
24212,193
24193,207
24199,60
24247,253
24236,558
25034,648
25046,16
25078,110
25105,346
23928,184
23941,275
23970,571
23930,362
23904,726
23947,285
23927,937
23972,873
23971,350
24600,269
24533,623
24603,124
24541,159
24582,423
24558,593
24510,113
24530,726
24601,269
24120,951
24116,596
24076,453
24146,444
24092,68
24162,578
24104,923
24170,181
24132,145
24132,514
24269,49
24333,54
24294,36
24281,423
24311,117
24307,966
24288,956
24320,516
24358,21
24387,647
24397,37
24400,300
24430,546
24396,110
24378,850
24360,389
24417,441
24401,175
24405,179
24031,183
24032,38
23996,337
23988,27
24068,995
24010,123
24029,445
24044,298
23986,10
24022,388
24049,423
24064,821
24053,24
23999,41
24004,42
24024,803
24036,33
24058,484
24019,38
23987,14
24052,93
23751,506
23730,367
23783,825
23719,322
23721,289
23726,14
23753,789
23742,68
23772,121
24654,145
24654,514
24646,165
24662,423
24618,236
24671,231
23807,283
23841,60
23863,761
23865,862
23823,300
23821,770
23887,866
23805,726
23812,695
23856,110
23810,14
23881,508
23848,961
24440,964
24478,175
24508,316
24466,121
24485,884
24482,275
24472,927
24475,37
24502,199
24476,37
24493,986
24966,1
24969,3
24959,704
24993,165
24960,453
24980,67
24999,780
24973,110
25030,333
24954,105
24972,729
24957,14
24908,381
24902,410
24936,237
24864,105
24952,304
24925,761
24896,957
24948,953
24734,711
24708,787
24732,74
24817,10
24843,629
24781,27
24828,427
24851,821
24778,14
24257,4
24176,14
24178,32
24238,30
24237,30
24237,114
24208,564
24227,10
24180,436
24230,102
24214,55
24225,577
25044,19
25062,305
25098,44
25105,350
25095,2
23941,942
23958,45
23905,337
23918,789
23927,931
23957,54
23971,346
24557,593
24536,3
24591,287
24579,423
24550,104
24527,798
