artists,dates,gross_receipts_us,gross_receipts_canadian,tickets_sold,capacity,num_shows,num_sellouts,promoter,ticket_prices,location,source_id,schema_id,s3_uri
['BARRY MANILOW'],['Oct. 18'],135496.0,,9167.0,,,1.0,['Belkin Prods.'],['15/13.50'],"['Centennial Hall', 'Univ. of Toledo']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
"['JETHRO TULL', 'HONEYMOON SUITE']",['Oct. 19'],130017.0,,1015.0,11882.0,,,['Electric Factory'],['12.50/10'],"['Spectrum Theater', 'Philadelphia']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
"['BILLY SQUIER', 'RATT']",['Oct. 16'],120000.0,,10000.0,,,1.0,['Mid-South Concerts'],['2'],"['Barton Coliseum', 'Little Rock']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
['RICK SPRINGFIELD NBC'],['Oct. 12'],114112.0,,8805.0,,,1.0,['Jam Prods./Alan Carr'],['13.50'],"['Arena', 'Honolulu']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
['BILLY SQUIER'],['Oct. 17'],113207.0,,9314.0,12035.0,,,['Mid-South Concerts'],['12.50/11.50'],"['Mid-South Coliseum', 'Memphis.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
['DAVID COPPERFIELD'],['Oct. 19-20'],112057.0,,7881.0,8500.0,5.0,,['Brass Ring Prods.'],[],"['Royal Oak (Mich.)', 'Music Theater ns']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
"['OAK RIDGE BOYS', 'LEE GREENWOOD']",['Oct. 14'],109079.0,,8777.0,,,,"['Jerry Bentley Prods,']",['12.75/12'],"['Von Braun Civic Center', 'Huntsville, Ala.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
['ALABAMA'],['Oct. 20'],107679.0,,8283.0,,,1.0,['Salem Concerts/Keith Fowler'],['13'],"['Stephen F. Austin College ~', 'Nagcogdoches, Tex.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
['CHICAGO'],['Oct. 12'],105840.0,,7055.0,10000.0,,,['Bill Graham Presents'],['15'],"['Cal Expo Amphitheatre', 'Sacramento']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
['CHICAGO'],['Oct. 13'],103940.0,,7464.0,8500.0,,,['Bill Graham Presents'],['15.50/15/13.50'],"['Greek Theatre', 'Berkeley, Calif.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
['ALABAMA G.'],['Oct. 21'],100495.0,,7882.0,,,1.0,['Salem Concerts/Keith'],['13.50/12.50'],"['Rollie White Coliseum,', 'College Station, Tex.', 'Promotions']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
"['QUIET RIOT', 'WHITESNAKE', 'HELIX']",['Oct. 14'],98221.0,,10505.0,18483.0,,,['Feyline Presents'],['9.35'],"['Mclichols Sports Arena', 'Denver']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
"['FIXX', 'RONNIE HAYES & THE WILD', 'COMBO D']",['Oct. 20'],70557.0,,5142.0,8500.0,,,['Bill Graham Presents'],['15/13.50'],['San Francisco Civic Auditorium'],billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
"['QUIET RIO', 'WHITESNAKE', 'ARMORED SAINTS']",['Sept. 30'],66969.0,,4385.0,,,,"['Avalon Attractions.', 'S16 /$la (6.1L)']",[],"['levine Meadows Amphitheatre', 'Laguna Hilts, Calif.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
"['THOMPSON TWINS', 'BERLIN']",['Sept. 22'],59238.0,,4388.0,7200.0,,,['Rock N’ Chair Prods.'],['13.50'],"['Lawior Events Center', 'Reno']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
['AMY GRANT'],['Oct. 15-16'],59128.0,73911.0,467.0,5000.0,,,['Concert Prods.'],['16/15'],"['Massey Hall', 'Toronto']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
['CHARLEY PRIDE'],['Oct. 20'],53749.0,,3689.0,3722.0,,,['Jack Roberts Prods.'],['15/13'],"['Frank Cainer Arena', 'Behan Park, Nanaima, B.C.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
