artists,dates,gross_receipts_us,gross_receipts_canadian,tickets_sold,capacity,num_shows,num_sellouts,promoter,ticket_prices,location,source_id,schema_id,s3_uri
"['RONNIE JAMES DIO.', 'DOKKEN']",['Nov. 5'],184683.0,,14765.0,,,1.0,['Monarch Entertainment Bureau'],['13.50/12.50'],"['Byrne Meadowlands Arena', 'East Rutherford, NJ.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
['ROD STEWART'],['Nov. 10'],178955.0,,12379.0,13500.0,,,['Bill Graham Presents/Avalon'],['15/12.50'],['Oakland (Calif.) Coliseum'],billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
['ROD STEWART'],['Nov. 4'],162430.0,,13236.0,,,1.0,['Avalon Attractions'],['15/13.50'],"['San Diego (Calif.) Sports', 'Arena']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
"['CHICAGO', 'ALAN KAYE']",['Nov. 3'],159785.0,,12304.0,14866.0,,,['Contemporary Prods./Pace Concerts'],['13.50/12.50'],"['Hilton Coliseum', 'Ames, lowa']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
"['KENNY ROGERS.', 'CRYSTAL GAYLE', 'SAWYER BROWN']",['Oct. 30'],151252.0,,9813.0,11345.0,,,['North American Tours Inc.'],"['16/13,50']","['Athletic & Convocation Center', 'South Bend, Ind.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
"['KENNY ROGERS', 'CRYSTAL GAYLE', 'SAWYER BROWN']",['Oct. 31'],147822.0,,9660.0,,,1.0,['North American Tours Inc.'],['16/813.50'],"['Memorial Coliseum', 'Fort Worth, Ind.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
"['KENNY ROGERS.', 'CRYSTAL GAYLE', 'SAWYER BROWN']",['Nov. 2'],147412.0,,9402.0,12656.0,,,['North American Tours Inc.'],['16.50/13.50'],"['Rupp Arena', 'Lexington, Ky.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
"['KENNY ROGERS.', 'CRYSTAL GAYLE', 'SAWYER BROWN']",['Nov. 3'],145399.0,,10525.0,12088.0,,,['North Amesican Tours Inc.'],['16/13.50'],"['Middle Tennessee State Univ.', 'Murphy Center', 'Murfreesboro']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
['RUSH'],['Nov. 7'],139875.0,,11356.0,12159.0,,,['Frank J. Russo'],['12.50/11.50'],"['Providence (R.|.) Civic Center', 'Y&T']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
"['RICK SPRINGFIELD', 'TOMMY SHAW']",['Nov. 8'],130000.0,,10400.0,,,1.0,['Jam Prods./United'],['12.50'],"['Salt Palace', 'Salt Lake City', 'Radio']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
"['BILLY SQUIER', 'RATT']",['Nov. 8'],122237.0,,9779.0,,,1.0,['> Sunshine Promotions'],['12.50'],['Fort Wayne (Ind.) Coliseum'],billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
"['CULTURE CLUB', 'NELSONS']",['Oct. 29'],118718.0,,9813.0,,,1.0,['Stone City Attractions'],['16/15/10'],"['San Antonio (Tex.) Convention', 'Center']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
['RICK SPRINGFIELD'],['Nov. 10'],117500.0,,10000.0,,,1.0,['Jam Prods.'],['175'],['Casper (Wya.) Events Center'],billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
"['BILLY SQUIER', 'RATT']","['Oct, 23']",116.837,,9347.0,,,1.0,['Mid-South Concerts'],['12.50'],"['Municipal Auditorium', 'Nashville']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
"['SAMMY HAGAR', 'KROKOS']",['Oct. 27'],115041.0,,10200.0,,,1.0,['John Scher Presents'],['12.50/11.50'],"['Rochester N.Y, War', 'Memorial']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
"['CHICAGO', 'ALLAN KAYE.']",['Nov. 4'],112737.0,,9019.0,,,1.0,['Mid-South Concerts'],['12.50'],['Jackson Miss. Coliseum'],billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
"['RONNIE JAMES DIO', 'DOKKEN']",['Nov. 10'],110412.0,,8917.0,10000.0,,,['Fantasma Prods.'],['12.50'],['Lakeland (Fla.) Civic Center'],billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
"['RICK SPRINGFIELD', 'TOMMY SHAW _']",['Nov. 9.'],110408.0,,8547.0,,,1.0,['Jam Prods./Feyline'],['13/12'],['Univ. of Colorado at Boulder'],billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
['GALLAGHER'],['Nov. 3-4'],107511.0,,9274.0,,,2.0,['Contemporary Prods.'],['12.50/10.50'],"['Fox Theater', 'St. Louis']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
"['LOU REED', 'SWIMMING POOL']",['Oct. 17-19'],107241.0,,7749.0,,,3.0,['John Scher Presents.'],['15/13.50'],"['Beacon Theatre', 'Qs New York']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
"['CROSBY, STILLS & NASH']",['Oct. 24'],106165.0,,8211.0,10200.0,,,['John Scher Presents'],['13.50/12.50'],['Rochester (N.Y.) War Memorial'],billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
"['BILLY SQUIER', 'RATT']",['Nov. 6'],105903.0,,8566.0,9283.0,,,['Sunshine Promotions'],['12.50/11.50'],"['Athletic & Convocation Center', 'South Bend, Ind.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
"['BILLY SQUIER', 'RATT']",['Nov. 2'],103066.0,,8652.0,8962.0,,,['Sunshine Promotions'],['12.50/11.50'],['Knoxville (Tenn.) Civic Center'],billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
"['RICK SPRINGFIELD', 'TOMMY SHAW']",['Nov. 9'],99062.0,,7231.0,,,1.0,['Feyline Presents/Jam Prods.'],['13/12'],['Univ. of Colorado at Boulder'],billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
"['ROYAL NEW YORK DOO WOPP', 'VOL.']","['Oct. 13', '13']",98708.0,,5874.0,,,1.0,['In-House'],['17.50/15'],"['Radio City Music Hall', 'York']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
"['CHICAGO', 'ALAN KAYE']",['Nov. 2'],95720.0,,7778.0,,,1.0,['Contemporary Prods./'],['12.50/11.50'],"['Ahearn Fieldhouse', 'Manhattan, Kan.', 'West Presentations']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
['GALLAGHER'],['Nov 1-2'],94465.0,,6648.0,,,2.0,['In-House'],['14.95'],"['Holiday Star Theatre', 'Merrillville, Ind.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
"['CROSBY, STILLS & NASH']",['Nov. 4'],92989.0,,6899.0,,,,['Contemporary Prods./'],['14.50'],"['Memorial Union', 'fowa City', 'Concerts']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
"['CHICAGO', 'ALAN KAYE']",['Multt-Purpose'],,,,8900.0,,,"['7 $88,802 7,091 Contemporary Prods.']",['13.50/12.50'],"['Hearns', 'Columbia, Mo,']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
"['| CHICAGO', 'ALAN KAYE']",['Oct. 30'],88583.0,,6799.0,7000.0,,,['Spectrum Prods.'],['13.50/12.50'],['Utah State Univ. Spectrum'],billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
